"06501: Inntekter, gjeld, bruttoformue og utlignet skatt for personlige skogeiere og deres ektefelle/samboer (1 000 kr), etter statistikkvariabel, region og år"

"statistikkvariabel";"region";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Gjeld";"10 Vest-Agder (-2019)";3005493;3243619;3660830;4397722;4456693;5063774;5848413;6497151;6901567;7257971;7512124;7997921;8452784;8730069;8971153;0;0
"Gjeld";"11 Rogaland";4035497;4405204;4952948;6001442;6282363;6794565;8193848;9178677;9992905;10427775;10898510;11583840;12014308;12569290;12724589;13195812;13659598
"Gjeld";"46 Vestland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23050420;23953270
"Gjeld";"12 Hordaland (-2019)";4832948;5340422;5863569;6986891;7097786;7665040;9064357;10729038;11291161;11851757;12435741;13159930;13373824;13988566;14442646;0;0
"Gjeld";"14 Sogn og Fjordane (-2019)";3269284;3440148;3657862;4148964;4179042;4530697;5268458;5675923;6103560;6463314;6886552;7214136;7499282;7820098;8028009;0;0
"Gjeld";"15 Møre og Romsdal";4448376;4864266;5298102;5933469;6060865;6600380;7867035;8600658;9252458;9708385;10219000;10958405;11637644;12103799;11991493;12690147;12865984
"Gjeld";"50 Trøndelag - Trööndelage";0;0;0;0;0;0;0;0;0;0;0;0;0;25894518;27528049;29099010;30416237
"Gjeld";"16 Sør-Trøndelag (-2017)";4484816;4835452;5584809;6227056;6328717;6965795;7768054;8503685;9181038;9689871;10422742;11375323;12001578;0;0;0;0
"Gjeld";"17 Nord-Trøndelag (-2017)";4909219;5406439;5862998;6636630;6887581;7348897;8210700;8922062;9749382;10366089;10923634;11788596;12426172;0;0;0;0
"Gjeld";"18 Nordland - Nordlánnda";4381410;4487456;5005535;5708847;5842275;6385745;7118489;8187939;8571942;8885232;9409576;9963487;10371124;10801361;11293086;11570282;11815703
"Gjeld";"54 Troms og Finnmark - Romsa ja Finnmárku";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9170589;9332701
"Gjeld";"19 Troms - Romsa (-2019)";2887653;3079427;3703909;4246842;4442785;4659576;4928341;5783531;6103468;6337356;6607361;6913249;7380234;7764819;7941738;0;0
"Gjeld";"20 Finnmark - Finnmárku (-2019)";305951;331039;358009;441378;462301;461553;517850;640424;642487;657555;676786;721660;728438;734671;788318;0;0
"Skattepliktig bruttoformue";"03+30 Oslo og Viken";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;253016183;272918005
"Skattepliktig bruttoformue";"01 Østfold (-2019)";10836828;11667119;13165492;13836794;14215258;14764407;15139715;16075510;17184711;18209506;19628684;20804532;22360814;23470099;29090797;0;0
"Skattepliktig bruttoformue";"02-03 Oslo og Akershus (-2019)";33602933;36940967;44510727;58335250;57189198;61319086;59924585;60110960;60219048;64916703;76336429;83734103;92038231;99074915;127262214;0;0
"Skattepliktig bruttoformue";"06 Buskerud (-2019)";16398333;23066921;24645050;23386781;24917458;27380506;31149538;32732070;25420481;27431150;29980300;33276392;35197160;38210693;46582390;0;0
"Skattepliktig bruttoformue";"34 Innlandet";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81920572;87975815
"Skattepliktig bruttoformue";"04 Hedmark (-2019)";14825897;16614092;17699656;18742715;19593317;20132730;20346574;21564807;22525443;24166061;26153514;28366947;28928067;29746333;36435783;0;0
"Skattepliktig bruttoformue";"05 Oppland (-2019)";14408192;16065147;17246912;18008132;19016363;19920971;20636804;21996927;23411984;25060608;27419275;29519639;30558152;32264038;37938832;0;0
"Skattepliktig bruttoformue";"38 Vestfold og Telemark";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51075162;57356825
"Skattepliktig bruttoformue";"07 Vestfold (-2019)";8905365;10154572;10868381;11186317;11905646;12355826;12599522;13071473;13838202;14787419;15514121;18183330;19325670;19636699;24056147;0;0
"Skattepliktig bruttoformue";"08 Telemark (-2019)";8075115;8975654;10278193;10976120;11302164;12255159;12354772;13139921;14112104;14683845;15789581;16940744;17983397;18411023;22766358;0;0
"Skattepliktig bruttoformue";"42 Agder";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52006133;56451597
"Skattepliktig bruttoformue";"09 Aust-Agder (-2019)";5716817;6404267;7010271;8364863;9854622;8619264;10584047;12718522;13360965;14011156;15223507;16276352;17093679;16245148;19456318;0;0
"Skattepliktig bruttoformue";"10 Vest-Agder (-2019)";7303011;8243894;9399046;10609848;10778407;11813235;12980688;14264304;15181654;15798128;16912760;19616877;21050283;21260675;27282551;0;0
"Skattepliktig bruttoformue";"11 Rogaland";7736475;8832007;9916793;11245114;12278517;13784733;15949315;17702302;19224617;20578111;21492583;22826926;24047932;25705220;32707877;36912936;41629289
"Skattepliktig bruttoformue";"46 Vestland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85421895;93110840
"Skattepliktig bruttoformue";"12 Hordaland (-2019)";10093931;11642659;12901952;14795160;15602379;16693630;19940507;26601262;28917834;29936967;33554523;37121201;37300162;40098554;50784517;0;0
"Skattepliktig bruttoformue";"14 Sogn og Fjordane (-2019)";7444220;8429667;9288551;10074988;10351037;11242980;13030349;14200511;15065836;15554823;17308756;18304559;19805634;20370042;25045317;0;0
"Skattepliktig bruttoformue";"15 Møre og Romsdal";9799257;11229845;13416991;14080190;14576664;15054414;16965340;18334408;19519860;21652271;23539462;25654970;25653400;25684451;32738603;37754749;39772173
"Skattepliktig bruttoformue";"50 Trøndelag - Trööndelage";0;0;0;0;0;0;0;0;0;0;0;0;0;50409045;62284849;71801232;77463932
"Skattepliktig bruttoformue";"16 Sør-Trøndelag (-2017)";9269624;10414407;11786716;13455333;14008967;15209470;16562914;18200347;18525037;21362497;21490639;28078374;31188792;0;0;0;0
"Skattepliktig bruttoformue";"17 Nord-Trøndelag (-2017)";7925983;9038239;9832304;9979728;10430247;10896448;11686384;12564420;13440182;14350471;15617037;16905155;17671479;0;0;0;0
"Skattepliktig bruttoformue";"18 Nordland - Nordlánnda";7986211;8888537;9821922;10809865;11481987;11971851;13320246;15519461;16423808;17655386;19239025;20601181;21736595;22796104;34711558;41047306;45216025
"Skattepliktig bruttoformue";"54 Troms og Finnmark - Romsa ja Finnmárku";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35602894;37775424
"Skattepliktig bruttoformue";"19 Troms - Romsa (-2019)";5737237;6483347;7723043;8541458;9637824;10191813;10796649;12794146;13900458;15051469;16346765;17947369;19362709;20202321;28461354;0;0
"Skattepliktig bruttoformue";"20 Finnmark - Finnmárku (-2019)";506210;597369;626728;686537;710601;861494;828380;964074;1009375;1104840;1083464;1221648;1339142;1509704;2095933;0;0
"Utlikna skatt";"03+30 Oslo og Viken";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8009736;9958416
"Utlikna skatt";"01 Østfold (-2019)";842939;775419;848742;901550;874038;929640;971075;1019215;1055084;1107769;1248599;1206973;1323253;1331215;1374735;0;0
"Utlikna skatt";"02-03 Oslo og Akershus (-2019)";2152814;1884074;2367985;2561818;2467760;2723411;2824618;3110746;3151432;3300115;3969409;3846869;3873083;3999860;4116198;0;0
"Utlikna skatt";"06 Buskerud (-2019)";1409425;1151078;1285650;1297351;1311104;1410250;1552760;1672205;1622457;1675594;1855420;1835739;1837791;2031246;1989739;0;0
"Utlikna skatt";"34 Innlandet";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3883356;4435949
"Utlikna skatt";"04 Hedmark (-2019)";1179703;1120154;1231225;1315972;1310841;1373574;1419597;1521253;1569030;1623037;1755643;1758017;1737674;1824405;1844479;0;0
"Utlikna skatt";"05 Oppland (-2019)";1260153;1110792;1226005;1294746;1307422;1373324;1439200;1552992;1624818;1701593;1827677;1864017;1872059;1971086;1950718;0;0
"Utlikna skatt";"38 Vestfold og Telemark";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2456881;2792091
"Utlikna skatt";"07 Vestfold (-2019)";671569;635919;719078;769761;733385;771641;821057;875538;889126;939792;1051890;1033462;1042957;1085080;1123748;0;0
"Utlikna skatt";"08 Telemark (-2019)";823767;751210;825523;876945;886186;936205;993798;1067484;1129789;1166275;1250009;1214961;1217871;1281548;1292378;0;0
"Utlikna skatt";"42 Agder";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2260977;2565661
"Utlikna skatt";"09 Aust-Agder (-2019)";519881;479230;526579;601429;622554;609851;684233;770881;895497;958296;991402;1088155;904546;955218;931055;0;0
"Utlikna skatt";"10 Vest-Agder (-2019)";651075;642184;709748;785349;785934;845594;937323;1045870;1067683;1083152;1173769;1155963;1193840;1249765;1281500;0;0
