"06501: Inntekter, gjeld, bruttoformue og utlignet skatt for personlige skogeiere og deres ektefelle/samboer (1 000 kr), etter statistikkvariabel, region og år"

"statistikkvariabel";"region";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Næringsinntekt i alt";"42 Agder";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;790209;865211
"Næringsinntekt i alt";"09 Aust-Agder (-2019)";347311;248980;270777;289572;286434;284906;319919;312166;622136;807868;335648;333163;337818;377161;354146;0;0
"Næringsinntekt i alt";"10 Vest-Agder (-2019)";367025;285339;327221;361113;338575;358119;404580;409506;397830;401400;407211;434252;417898;461777;433027;0;0
"Næringsinntekt i alt";"11 Rogaland";783524;623958;733152;774460;742082;764392;881446;928399;918176;948297;1030155;954851;944651;916953;921150;977044;1115896
"Næringsinntekt i alt";"46 Vestland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1620619;1765277
"Næringsinntekt i alt";"12 Hordaland (-2019)";698462;567710;628650;692141;665553;682766;752589;785486;778319;800286;845386;822347;785783;797992;818471;0;0
"Næringsinntekt i alt";"14 Sogn og Fjordane (-2019)";575566;511664;571716;617039;600276;645374;719205;761671;729366;740853;786786;788325;796031;815035;821752;0;0
"Næringsinntekt i alt";"15 Møre og Romsdal";759462;694682;751160;767263;728765;788971;862899;895752;854258;862354;925026;912469;929433;924104;880606;879633;925157
"Næringsinntekt i alt";"50 Trøndelag - Trööndelage";0;0;0;0;0;0;0;0;0;0;0;0;0;2245606;2273051;2261710;2513541
"Næringsinntekt i alt";"16 Sør-Trøndelag (-2017)";1021726;715124;810549;850323;788439;844533;873716;932723;916582;926280;1002325;1000745;1048804;0;0;0;0
"Næringsinntekt i alt";"17 Nord-Trøndelag (-2017)";957192;866139;963434;992858;939628;979171;1040178;1119414;1075400;1081296;1193197;1195983;1155680;0;0;0;0
"Næringsinntekt i alt";"18 Nordland - Nordlánnda";586514;530389;599313;613727;579877;632163;662249;705211;701042;720349;761067;759881;742126;729371;735396;738602;787272
"Næringsinntekt i alt";"54 Troms og Finnmark - Romsa ja Finnmárku";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;491653;497483
"Næringsinntekt i alt";"19 Troms - Romsa (-2019)";342227;321347;365339;376600;352610;385772;393131;419961;410800;423941;443888;437870;421320;426752;406840;0;0
"Næringsinntekt i alt";"20 Finnmark - Finnmárku (-2019)";39045;51381;39456;38092;35369;36789;37649;42115;37311;40771;44448;43768;40335;45244;46720;0;0
"Næringsinntekt i skogbruk";"03+30 Oslo og Viken";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;342692;411883
"Næringsinntekt i skogbruk";"01 Østfold (-2019)";103638;64276;73037;74048;55883;63018;66532;54922;51094;75556;73555;73481;58668;98780;91614;0;0
"Næringsinntekt i skogbruk";"02-03 Oslo og Akershus (-2019)";257755;95808;103113;117328;120704;87812;93357;86611;94235;116021;115342;95129;95407;118182;145941;0;0
"Næringsinntekt i skogbruk";"06 Buskerud (-2019)";327439;114903;120174;125454;107831;118828;129727;109155;101450;121148;111322;114069;106439;118634;141816;0;0
"Næringsinntekt i skogbruk";"34 Innlandet";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;399465;439116
"Næringsinntekt i skogbruk";"04 Hedmark (-2019)";281500;189751;213394;230069;191913;211774;217052;206969;198494;224028;219426;214814;174749;217380;236481;0;0
"Næringsinntekt i skogbruk";"05 Oppland (-2019)";324924;115310;123586;122546;112445;110092;124888;116073;106539;123000;124189;119322;117934;140000;169712;0;0
"Næringsinntekt i skogbruk";"38 Vestfold og Telemark";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90238;99232
"Næringsinntekt i skogbruk";"07 Vestfold (-2019)";96685;45881;54794;53035;68007;57798;51143;45327;37480;38176;39070;36411;36605;38604;46780;0;0
"Næringsinntekt i skogbruk";"08 Telemark (-2019)";109285;43403;52720;51290;43266;48036;48784;45724;60654;46401;44237;39351;37448;40355;49064;0;0
"Næringsinntekt i skogbruk";"42 Agder";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52985;63830
"Næringsinntekt i skogbruk";"09 Aust-Agder (-2019)";52697;29631;34457;35214;30065;28579;33186;31406;30778;32343;35939;31751;26830;31339;42013;0;0
"Næringsinntekt i skogbruk";"10 Vest-Agder (-2019)";29061;17261;16833;20244;16706;17522;25551;26367;24824;26333;29157;24936;18810;19689;26503;0;0
"Næringsinntekt i skogbruk";"11 Rogaland";13986;10378;7670;14079;9859;9191;11677;9528;15692;14846;13891;14030;11443;14366;17807;14335;17495
"Næringsinntekt i skogbruk";"46 Vestland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37343;40726
"Næringsinntekt i skogbruk";"12 Hordaland (-2019)";17762;9323;11472;10968;9645;11746;12331;14015;15026;15406;17033;17407;17538;21466;21710;0;0
"Næringsinntekt i skogbruk";"14 Sogn og Fjordane (-2019)";10565;8573;7225;9293;7210;8858;8766;9857;11034;13607;15947;16033;15280;17864;17236;0;0
"Næringsinntekt i skogbruk";"15 Møre og Romsdal";19546;12652;14598;14903;12901;15838;17217;13503;13423;14201;17339;18363;15593;18108;15760;16882;17400
"Næringsinntekt i skogbruk";"50 Trøndelag - Trööndelage";0;0;0;0;0;0;0;0;0;0;0;0;0;103890;107244;104299;123338
"Næringsinntekt i skogbruk";"16 Sør-Trøndelag (-2017)";63017;41130;44853;45826;38122;38950;36327;34987;36164;37563;42666;43679;40723;0;0;0;0
"Næringsinntekt i skogbruk";"17 Nord-Trøndelag (-2017)";77023;66596;68020;72500;64458;60154;58994;53393;54794;56858;56828;61085;57229;0;0;0;0
"Næringsinntekt i skogbruk";"18 Nordland - Nordlánnda";16463;10106;10831;12226;10953;8771;9374;7723;8202;10980;13869;8706;9539;11246;12889;12400;18083
"Næringsinntekt i skogbruk";"54 Troms og Finnmark - Romsa ja Finnmárku";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;635;1092
"Næringsinntekt i skogbruk";"19 Troms - Romsa (-2019)";1031;:;:;:;1439;:;:;:;:;1806;3482;808;568;874;820;0;0
"Næringsinntekt i skogbruk";"20 Finnmark - Finnmárku (-2019)";582;:;:;:;0;:;:;:;:;0;0;0;0;0;0;0;0
"Næringsinntekt jordbruk";"03+30 Oslo og Viken";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..
"Næringsinntekt jordbruk";"01 Østfold (-2019)";450030;356370;383316;438062;345007;412395;389871;..;..;..;..;..;..;..;..;0;0
"Næringsinntekt jordbruk";"02-03 Oslo og Akershus (-2019)";649913;281038;333064;391223;307329;357376;342987;..;..;..;..;..;..;..;..;0;0
"Næringsinntekt jordbruk";"06 Buskerud (-2019)";681650;278371;324750;338587;299838;325757;324379;..;..;..;..;..;..;..;..;0;0
"Næringsinntekt jordbruk";"34 Innlandet";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..
"Næringsinntekt jordbruk";"04 Hedmark (-2019)";577085;485228;573684;607581;534011;552275;555308;..;..;..;..;..;..;..;..;0;0
"Næringsinntekt jordbruk";"05 Oppland (-2019)";801421;541083;612626;613295;571819;636087;629848;..;..;..;..;..;..;..;..;0;0
"Næringsinntekt jordbruk";"38 Vestfold og Telemark";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..
"Næringsinntekt jordbruk";"07 Vestfold (-2019)";319242;239303;263127;296096;252106;306879;280003;..;..;..;..;..;..;..;..;0;0
"Næringsinntekt jordbruk";"08 Telemark (-2019)";201740;119302;151928;155629;138958;144546;139597;..;..;..;..;..;..;..;..;0;0
"Næringsinntekt jordbruk";"42 Agder";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..
"Næringsinntekt jordbruk";"09 Aust-Agder (-2019)";112339;74460;79474;88179;82097;87945;87093;..;..;..;..;..;..;..;..;0;0
"Næringsinntekt jordbruk";"10 Vest-Agder (-2019)";132714;98134;105711;120530;110510;110652;119574;..;..;..;..;..;..;..;..;0;0
"Næringsinntekt jordbruk";"11 Rogaland";549416;401667;465495;474546;446287;474221;520439;..;..;..;..;..;..;..;..;..;..
"Næringsinntekt jordbruk";"46 Vestland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..
"Næringsinntekt jordbruk";"12 Hordaland (-2019)";346708;249756;275207;304200;285413;295299;320102;..;..;..;..;..;..;..;..;0;0
"Næringsinntekt jordbruk";"14 Sogn og Fjordane (-2019)";369809;304589;335584;353289;328102;353440;382272;..;..;..;..;..;..;..;..;0;0
"Næringsinntekt jordbruk";"15 Møre og Romsdal";440738;379936;410106;413770;373644;405172;415004;..;..;..;..;..;..;..;..;..;..
"Næringsinntekt jordbruk";"50 Trøndelag - Trööndelage";0;0;0;0;0;0;0;0;0;0;0;0;0;..;..;..;..
"Næringsinntekt jordbruk";"16 Sør-Trøndelag (-2017)";671079;429637;479917;502015;450532;483711;488215;..;..;..;..;..;..;0;0;0;0
"Næringsinntekt jordbruk";"17 Nord-Trøndelag (-2017)";628086;552049;603327;631175;570495;594471;638028;..;..;..;..;..;..;0;0;0;0
"Næringsinntekt jordbruk";"18 Nordland - Nordlánnda";358086;332156;365771;377446;351468;389861;401344;..;..;..;..;..;..;..;..;..;..
"Næringsinntekt jordbruk";"54 Troms og Finnmark - Romsa ja Finnmárku";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;..
"Næringsinntekt jordbruk";"19 Troms - Romsa (-2019)";181389;175105;:;:;183617;206010;:;..;..;..;..;..;..;..;..;0;0
"Næringsinntekt jordbruk";"20 Finnmark - Finnmárku (-2019)";22508;20480;:;:;19264;22582;:;..;..;..;..;..;..;..;..;0;0
"Andre inntekter";"03+30 Oslo og Viken";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5908960;10693499
"Andre inntekter";"01 Østfold (-2019)";739585;292111;368346;478983;384077;380873;593728;602475;459569;476789;828295;630823;1033377;946924;901495;0;0
"Andre inntekter";"02-03 Oslo og Akershus (-2019)";5697753;871234;2281798;2336105;1387553;2085154;2095034;2121674;1807908;2126182;3831395;2953064;2933602;3088009;3016478;0;0
"Andre inntekter";"06 Buskerud (-2019)";2318388;481279;656259;655034;427630;516064;859076;948616;704972;828474;1289150;953062;1041001;1510078;1213339;0;0
"Andre inntekter";"34 Innlandet";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1832513;2798782
"Andre inntekter";"04 Hedmark (-2019)";676911;337858;442639;567020;363610;374457;703895;748209;480284;502856;767735;773167;743530;875971;899529;0;0
"Andre inntekter";"05 Oppland (-2019)";689027;278685;439045;512249;327912;409419;697202;748498;469787;622317;797154;774469;837265;848085;864684;0;0
"Andre inntekter";"38 Vestfold og Telemark";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1329119;1999271
"Andre inntekter";"07 Vestfold (-2019)";895093;268556;397279;509615;266822;307917;501303;545014;393797;451456;719461;643267;654611;681366;718527;0;0
"Andre inntekter";"08 Telemark (-2019)";517030;201188;283906;326412;240244;268498;526185;569324;402271;468327;750196;561762;550456;557828;536938;0;0
"Andre inntekter";"42 Agder";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1292346;1905198
"Andre inntekter";"09 Aust-Agder (-2019)";467848;193438;218268;331057;252004;216529;372768;479601;353304;361156;952831;1338370;507195;643407;556061;0;0
"Andre inntekter";"10 Vest-Agder (-2019)";582816;277060;363018;387244;262473;279443;554000;696720;360190;401430;691269;531002;597577;598486;669853;0;0
"Andre inntekter";"11 Rogaland";912838;264939;395267;478001;357709;743467;698437;697457;605927;647879;781203;736693;685935;721133;774880;910780;1471132
"Andre inntekter";"46 Vestland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1710833;3271001
"Andre inntekter";"12 Hordaland (-2019)";898742;414311;556213;656482;458108;501051;998097;1232096;769047;870019;1280587;1130783;938848;1221447;1097466;0;0
"Andre inntekter";"14 Sogn og Fjordane (-2019)";323306;200838;240112;295228;224568;226414;468642;529530;347279;366550;550725;422397;446477;464102;487933;0;0
"Andre inntekter";"15 Møre og Romsdal";579568;250918;486302;500343;337481;332245;829606;768729;526713;549308;757482;711227;810344;740254;799451;806835;1160656
"Andre inntekter";"50 Trøndelag - Trööndelage";0;0;0;0;0;0;0;0;0;0;0;0;0;1170988;1108877;1299730;2411028
"Andre inntekter";"16 Sør-Trøndelag (-2017)";680017;230011;359406;459367;297150;361147;697372;722677;448193;463545;895983;1057685;704827;0;0;0;0
"Andre inntekter";"17 Nord-Trøndelag (-2017)";315190;162086;244835;260464;170655;164087;410401;461376;261482;287332;449653;399062;454472;0;0;0;0
"Andre inntekter";"18 Nordland - Nordlánnda";312440;177917;245639;323929;230282;246866;680233;830298;384695;405785;751647;576649;633228;668773;652929;737721;1573645
"Andre inntekter";"54 Troms og Finnmark - Romsa ja Finnmárku";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;714433;809219
"Andre inntekter";"19 Troms - Romsa (-2019)";279878;:;210729;243699;192542;190521;696481;708646;299293;365666;629691;516493;486940;506914;597928;0;0
"Andre inntekter";"20 Finnmark - Finnmárku (-2019)";22030;:;17461;19617;14906;18679;49451;46867;25865;30797;30143;38691;32018;62216;49643;0;0
